ip;escola;dispositivo
10.121.181.41;Alceu Maynard Araujo Professor;DVR_1
10.121.181.46;Alceu Maynard Araujo Professor;DVR_2
10.121.181.47;Alceu Maynard Araujo Professor;DVR_3
10.121.181.48;Alceu Maynard Araujo Professor;DVR_4
10.110.39.52;Ana Candida De Barros Molina Professora;DVR_1
10.110.39.142;Ayr Picanco Barbosa de Almeida Professora;DVR_1
10.110.39.148;Ayr Picanco Barbosa de Almeida Professora;DVR_2
10.110.39.140;Ayr Picanco Barbosa de Almeida Professora;DVR_3
10.110.39.141;Ayr Picanco Barbosa de Almeida Professora;DVR_4
10.110.39.143;Ayr Picanco Barbosa de Almeida Professora;DVR_5
10.110.33.35;CEEJA de Sao Jose dos Campos;DVR_1
10.120.89.37;Dinora Pereira Ramos Brito Professora;DVR_1
10.110.33.110;Dorival Monteiro De Oliveira Professor;DVR_2
10.110.33.102;Dorival Monteiro De Oliveira Professor;DVR_3
10.110.34.175;Edgar Mello Mattos De Castro Engenheiro;DVR_1
10.120.185.175;Elidia Tedesco De Oliveira Professora;DVR_1
10.110.37.75;Francisco Pereira Da Silva Professor;DVR_2
10.122.77.20;Jardim Republica;DVR_1
10.110.35.45;Joao Cursino;DVR_5
10.110.35.102;Jose Mariotto Ferreira Aviador;DVR_2
10.110.35.114;Jose Mariotto Ferreira Aviador;DVR_3
10.110.35.107;Jose Mariotto Ferreira Aviador;DVR_4
10.119.199.148;Juvenal Machado de Araujo Professor;DVR_1
10.110.40.205;Lourdes Maria De Camargo Professora;DVR_1
10.110.40.206;Lourdes Maria De Camargo Professora;DVR_2
10.110.40.207;Lourdes Maria De Camargo Professora;DVR_3
10.120.89.35;Marcia Helena Barbosa Lino Professora;DVR_1
10.120.89.36;Marcia Helena Barbosa Lino Professora;DVR_2
10.173.20.54;Marechal Rondon;DVR_1
10.110.33.18;Maria Ferreira Sonnewend Professora;DVR_1
10.121.26.171;Sonia Maria Alexandre Pereira Professora;DVR_1
10.121.26.172;Sonia Maria Alexandre Pereira Professora;DVR_2
10.113.96.148;Valmar Lourenco Santiago Professor;DVR_1
